to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
if a day	vừa đúng;không hơn không kém
if and when	nấu sau này;dù có thể sau này
if anything	có thể;có lẽ;có thể chăng
if at fist you don't succed, try, try again	thất bại là mẹ thành công
if I were you	nếu là tôi;nếu tôi là bạn
if I were in your shoes	nếu là tôi;nếu tôi là bạn
if I were in your place	nếu là tôi;nếu tôi là bạn
if ifs and ans were pots and pans	nếu nói nếu thì rều rệu cũng hóa mùn lim;cú nếu thế này nếu thế khác thì việc gì mà chẳng ổn
if my memory serves me right	nếu tôi nhớ không nhầm;nếu tối nhớ đúng
if need be	nếu cần
if only	giá mà
only if	chỉ khi mà
if the blind lead the blind, both shall fall into the ditch	nấu anh mù dắt anh lòa, thì cả hai cugnx ngã xuống hố
if you had half an eye	nấu anh không mù;nếu anh không đần độn
if the worst comes to the worst	trong trường hợp xấu nhất
if you run after two hares, you will catch neither	bắt cá hai tay có ngày ăn muối;lắm mối tối nằm không
if you turn the wind you must turn the mill-sails	liệu gió bỏ buồm
ignorant of	không biết gì 
ignorant in	không biết gì 
ill-acquired	kiếm được bằng cách phi nhĩa
ill-affected	có ý xấu;có ác ý;có ý đồ xấu
ill-at-ease	không thoải mái;lo lắng
ill blood	sự hằn thù
ill-bred	mất dạy;vô học
ill-favoured	vô duyên;xấu xí;hãm tài
go ill with	gây rủi ro cho;gây bất lợi cho;không có lợi cho
ill-gotten	kiếm được bằng cách phi ngũa;có được bằng cách phi nghĩa
ill-gotten, ill-spent	của làm ra để gác, của cờ bạc để sân;của phi nghĩa có giàu đâu;của phù vân không chắn hay chạy;vào lỗ hà ra lỗ hỏng
ill gotten gains never proper	của làm ra để gác, của cờ bạc để sân;của phi nghĩa có giàu đâu;của phù vân không chắn hay chạy;vào lỗ hà ra lỗ hỏng
ill-gotten goods seldom prosper	của làm ra để gác, của cờ bạc để sân;của phi nghĩa có giàu đâu;của phù vân không chắn hay chạy;vào lỗ hà ra lỗ hỏng
ill-mannered	thô lỗ;cục cằn;bất lịch sự
ill news spreads apace	tin dữ lanh nhanh;tiếng dữ đồn xa
ill of	đau yếu;ốm yếu
ill with	đau yếu;ốm yếu
ill of with fever	bị sốt;bị cảm
ills of life	những nỗi bất hạnh của cuộc đời;nỗi bất hạnh của cuộc đời
ill-timed	không đúng lúc
ill-treat	hành hạ;bạc đãi;ngược đại
ill-use	hành hạ;bạc đãi;ngược đại
ill-treatment	sự bạc đãi;sự ngược đãi
ill turn to	làm hại;gây tai họa cho;gây tai hại cho
an ill turn		sự làm hại;tai họa
a good turn	việc tử tế;việc làm ơn
ill weeds grow apace	cái xấu lan nhanh;thói xấu dễ bắt chước
have illusion about	có ảo tưởng về;ảo tưởng về
under an illustion	có ảo tưởng;ảo tưởng
illustrative of	minh họa cho
image to	hình dung;tưởng tượng
the image of	giống hệt;giống như;là hiện thân của
imbued with	thấm nhuần
immerse in	nhúng;nhận chìm;đắm chìm vào
immerse oneself in	chìm đắm;mải mê vào
immune from	miễn khỏi;được miễn
immune to	miên dịch đối với
immune against	miên dịch đối với
immunity from taxation	sự được miễn thuế
ummunity to diseases	miễn dịch với bệnh tật
ummunity ti pest	miễn dịch với sâu hại
immure in	cầm tù;bị cầm tù;giam hãm;giam mình vào
impart to	truyền đạt cho;phổ biến cho
impatient at	thiếu kiên nhẫn về;sốt ruột về;nôn nóng về;khó chịu;không chịu đựng được
impatient for	thiếu kiên nhẫn về;sốt ruột về;nôn nóng về;khó chịu;không chịu đựng được
impatient of	thiếu kiên nhẫn về;sốt ruột về;nôn nóng về;khó chịu;không chịu đựng được
impatient under	thiếu kiên nhẫn về;sốt ruột về;nôn nóng về;khó chịu;không chịu đựng được
impatient to	rốt ruột;nôn nóng
impatient with	nôn nóng;sốt ruột
impel to	thúc giục làm;ép buộc làm
imperviable to	không thấm;không xuyên qua được;không tiếp thu được;trơ trơ
impinge on	va chạm;đụng phải;tác động;ảnh hưởng;chạm đến;vi phạm
impinge upon	va chạm;đụng phải;tác động;ảnh hưởng;chạm đến;vi phạm
implant in	đóng sâu vào;cắm chặt vào;in sâu vào
import from	nhập vào
import into	nhập vào
import from	sự nhập;sự nhập khẩu;ý nghĩa;nội dung
importation from	hàng nhập khẩu
important to	quan trọng cho;hệ trong cho;rất quan trọng cho
important for	quan trọng cho;hệ trong cho;rất quan trọng cho
importance to	tầm quan trọng đối với
impose on	đánh vào;áp đặt;bắt phải chịu;bắt gánh vavd;bắt cáng đáng;lừa gạt;lừa phỉnh;đánh tráo;đánh lộn sòng;lạm dụng;lợi dụng
imposed upon	bị lừa
impose heavy taxes uopn	đánh thuế nặng vào
impressed by	lấy làm cảm động về;lấy làm cảm kích về
impress on	ghi sâu vào;khắc sâu vào;gây ấn tượng mạnh vào;ấn tượng sâu sắc
impress upon	ghi sâu vào;khắc sâu vào;gây ấn tượng mạnh vào;ấn tượng sâu sắc
impress with	khắc sâu vào tâm trí;gây ấn tượng mạnh
improve away	cải tiến để xóa bỏ;loại trừ;loại bỏ
improve the occasion	tận dụng cơ hội;tận dụng thời cơ
improve the opportunity	tận dụng cơ hội;tận dụng thời cơ
impute to	đổ lỗi cho;quy tội cho
in one's bad books	bị ghét bỏ;không được ưa
in one's black books	bị ghét bỏ;không được ưa
in one's good books	được yêu mến
in a body	thành toán;thành nhóm;thành đoàn;thành tốp
in a brown study	mơ mộng;trầm ngâm
in a calm sea, every man is a pilot	lửa thử vàng, gian nan thử sức;đến khi gió cả mới biết cây cứng mềm
in a crack	chỉ một thoáng;thoáng qua
in a crow line	theo đường chim bay;theo đường thẳng
in a straight line	theo đường chim bay;theo đường thẳng
in addition to	thêm vào;ngoài ra
in a fair way	có thể;chắc chắn;có triển vọng;đầy hứa hẹn
in a family way	tự nhiên như ở nhà
in a fashion	tạm được;tàm tạm
after a fashion	tạm được;tàm tạm
in a fearful mess	trong một mớ hỗn độn kinh khủng
in a fit of idle rage	trong cơn giận dữ không đi đến đâu
in a fit of tempter	trong một cơn nóng giận
in a fix	trong tình thế khó khăn
in a flash	trong nháy mắt;rất nhanh;ngay lập tức;bất thần;trong giây lát
in a furry	trong cơn giận dữ
in a hundred	trăm phần;trong phần trăm
in all	tất cả;tổng cộng
in any case	trong bất kỳ trường hợp nào
in a huff	trong cơn giận;đang cáu;đang bực tức
in a hurry	vội vàng;hối hả;gấp rút;sốt ruột;dễ dàng;vui lòng;sẵn lòng
in a jiffy	ngay lập tức;trong chốc lát
in a large measure	trong một phạm vi rộng lớn
in a great measure	trong một phạm vi rộng lớn
in a nutshell	tóm gọn lại;tóm tắt lại
in a walking dream	trong lúc mơ màng;trong lúc mơ mộng
in a way	chừng mực nào;thao ý nghĩa nào đó
in a word	nói tóm lại
in advance	trước;sớm
in all	tổng cộng;tất cả;cả thẩy;cả thể
in all conscience	chắc chắn;thành thật;hết lòng
in all likelihood	có khả năng;rất có thể
in all probability	rất có thể;có khả năng;chắc chắn
in an absent way	một cách lơ đãng
in-and-in-breading	sự giao phối thân thuộc;giao phối cận huyết;hôn nhân cận huyết
in and out	ra ra vào vào;đi đi lại lại
in and out of	khi thì ở trong;lúc thì ở ngoài;luôn luôn ở một nơi
in any case	tuy nhiên;dù sao;trong bất cứ trường hợp nào
in any event	trong bất kỳ trường hợp nào
in by	vào ngày
coming in again	sẽ lại thịnh hành
in for long	một thời gian dài
it's in	vào gôn
in since	vào khoảng
in for	được đưa vào để;được dồn vào để
still in	đang cháy;đang hoạt động
in for it	gặp chuyện khó chịu;gặp chuyện bực mình
in care of	nhờ chuyển giúp;trong trường hợp
in case	nếu;trong trường hơp
in chief	nhất là;đặc biệt là
in close quarters	chật hẹp;tù túng
in coincidence with	trung với;khớp với
in cold blood	có chủ tâm;có suy tính trước;nhẫn tâm;không ghê tay;cố ý
in conclusion	kết luận
in common	chung;cùng chung;cùng chung quyền lợi
in common use	thường dùng
in common with	cùng với;cũng như;giống như
in comparision with	so sánh với
in consideration of	chú ý đến
in contrast with	tương phản với;ngược với;trái ngược với
in course	đang diễn biến
in crop	trong giai đoạn ra quả;đang vào mùa
in debt	mang công mắc nợ
in one's debts	mắc nợ
in doubt	hồ nghi;chưa chắc chắn
in due course	đúng lúc;đúng thời 
in flesh	béo tốt;có da có thịt;bằng xương bằng thịt
in flower	đang ra hoa;đang nở hoa;đang đâm hoa
in for a penny, in for a pound	dù tốn công tốn của đến đâu việc đã làm thì phải làm cho đến nơi đến chốn;làm ơn-ơn cho trót, gọt gọt cho trơn
in for	sắp phải hứng chịu;sắp phải trải qua;mắc vào;lâm vào;dự thi
in for a storm	hứng chịu bão
in for trouble	buồn phiền;phiền muộn
have got it in for	muốn trả thù;có ý định xấu đối với
in force	có hiệu lực
in form	có sức khỏe tốt;sung sức
in full	đầy đủ;toàn bộ;không cắt xén
in full detail	rất chi tiết;rất tỉ mỉ
in full dress	mặc lễ phục
in full swing	lúc sôi nổi nhất;lúc hăng hái nhất;lúc cuồng nhiệt nhất
in full blast	lúc sôi nổi nhất;lúc hăng hái nhất;lúc cuồng nhiệt nhất
in fun	nói đùa
for fun	nói đùa
in general	nói chung;thông thường;đại khái;đại đề
in good faith	với sự tin cậy;với thiện chí;thành thực
in good heart	hăng hái;phấn đấu
in good keep	trong tình trạng tốt
in good odour with	được cảm tình của;giành được tình cảm của
in good repair	còn tốt
out of repair	không dùng được;hư hỏng;hư hại;mục nát
in harness	đang làm việc;trong khi làm việc;trong khi làm nhiệm vụ
in good order	trật tự;ngăn nắp;tốt;chạy tốt;đúng nội quy;đúng thủ tục;đúng quy trình
in good shape	dư sức;rất mạnh;phát triển tốt
in great form	rất phấn khởi
in high feather	phấn khởi;hớn hở
in fine feather	phấn khởi;hớn hở
in hot water	lúc khó khăn;lúc nước sôi lửa bỏng;buồn phiền;lo lắng
in irons	bị khóa tay;bị còng tay;bị xiềng xích;bị xích lại
in justice to	để có thái độ công bằng đối với
in keeping with	phù hợp với;nhất quán với
in kind	hiện vật;bằng hiện vật
in large	trên quy mô lớn
in line with	phù hợp với;thích hợp với
in lovw with	yêu;phải lòng;si mê
in low water	cạn tiền;túng bẫn;túng thiếu
in luck	gặp may;gặp vận may
in luck's way	gặp may;gặp vận may
in measured terms	bằng những lời lẽ thận trọng
in measured words	bằng những lời lẽ thận trọng
in mint condition	mới toanh
in name	trên danh nghĩa
in nature	theo bản chất;theo bản năng
in necessity	nghèo túng
in need of	cần;cần đến
in no case	không một trường hợp nào;trong bất cứ hoàn cảnh nào cũng không
in no time	trong nháy mắt;chỉ một thoáng;chẳng bao lâu
in no way	chẳng bằng cách nào;tuyệt nhiên không
in obdience to	vâng lệnh;theo lệnh
in on it	biết thừa đi rồi;biết tỏng hết
in on	tham dự;tham gia vào;có phần;hiểu biết về
in one's absence	trong lúc vắng mặt
in one's bare skin	trần như nhộng;trần truồng
in one's fancy	theo sự tưởng tượng
in one's glory	trong thời vinh hiển;trung lúc hân hoan;trong lúc hoan hỉ
in one's heart of hearts	trong thâm tâm
in one's life	trong đời của mình
in one's line	thuộc về sở trường;đi đôi với;thích hợp với;là sở trường
not much in one's line	không biết chút gì về
in one's mind's eye	trong óc tưởng tượng;trong sự thấy trước
in one's opinion	theo ý kiến;theo quan điểm của'
in one's presence	trong lúc có mặt
in one's school days	thời còn đi học;những ngày còn đi học
in one's right mind	sảng khoái;lành mạnh;tĩnh trí;an tâm;khôn ngoan
in one's second childhood	trở lại thời kỳ thơ ấu;lẩm cẩm
in one's thinking box	suy nghĩ chín chắn;suy nghĩ thận trọng;chìm đắm tron gsuy nghĩ;trầm tự mặc tưởng
